    t     y_estimated_euler    y_exact  
   0.00000000       0.00000000       0.00000000    
  0.100000001      0.500000000      0.391035438    
  0.200000003      0.750000000      0.617973387    
  0.300000012      0.854983330      0.742447078    
  0.400000006      0.882341921      0.806495011    
  0.500000000      0.874274254      0.838218212    
  0.600000024      0.856241763      0.855872989    
  0.700000048      0.842711627      0.870815754    
  0.800000072      0.841036260      0.889617324    
  0.900000095      0.854057670      0.915576041    
   1.00000012      0.881841838      0.949793398    
   1.10000014      0.922823131      0.991934419    
   1.20000017      0.974550366       1.04076481    
   1.30000019       1.03416538       1.09452307    
   1.40000021       1.09870374       1.15117979    
   1.50000024       1.16527879       1.20861340    
   1.60000026       1.23118913       1.26473022    
   1.70000029       1.29397702       1.31754184    
   1.80000031       1.35145700       1.36521649    
   1.90000033       1.40172482       1.40610933    
   2.00000024       1.44315612       1.43878126    
   2.10000014       1.47439826       1.46200669    
   2.20000005       1.49435973       1.47477674    
   2.29999995       1.50219750       1.47629738    
   2.39999986       1.49730444       1.46598554    
   2.49999976       1.47929657       1.44346297    
   2.59999967       1.44800067       1.40854788    
   2.69999957       1.40344214       1.36124706    
   2.79999948       1.34583306       1.30174673    
   2.89999938       1.27556002       1.23040128    
   2.99999928       1.19317234       1.14772391    
   3.09999919       1.09936988       1.05437410    
   3.19999909      0.994990408      0.951146126    
   3.29999900      0.880996644      0.838956773    
   3.39999890      0.758463025      0.718831897    
   3.49999881      0.628561914      0.591892958    
   3.59999871      0.492549598      0.459343404    
   3.69999862      0.351751506      0.322453916    
   3.79999852      0.207547560      0.182547867    
   3.89999843       6.13569915E-02   4.09867764E-02
   3.99999833      -8.53768140E-02 -0.100845158    
   4.09999847     -0.231201649     -0.241555810    
   4.19999838     -0.374671578     -0.379758924    
   4.29999828     -0.514362097     -0.514090776    
   4.39999819     -0.648884535     -0.643222868    
   4.49999809     -0.776900589     -0.765876412    
   4.59999800     -0.897135675     -0.880835056    
   4.69999790      -1.00839210     -0.986957967    
   4.79999781      -1.10956132      -1.08319080    
   4.89999771      -1.19963467      -1.16857743    
   4.99999762      -1.27771413      -1.24226892    
   5.09999752      -1.34302115      -1.30353224    
   5.19999743      -1.39490426      -1.35175824    
   5.29999733      -1.43284607      -1.38646734    
   5.39999723      -1.45646834      -1.40731478    
   5.49999714      -1.46553564      -1.41409349    
   5.59999704      -1.45995784      -1.40673757    
   5.69999695      -1.43979096      -1.38532102    
   5.79999685      -1.40523696      -1.35005903    
   5.89999676      -1.35664129      -1.30130446    
   5.99999666      -1.29448974      -1.23954511    
   6.09999657      -1.21940351      -1.16539848    
   6.19999647      -1.13213289      -1.07960594    
   6.29999638      -1.03354990     -0.983024836    
   6.39999628     -0.924639761     -0.876620531    
   6.49999619     -0.806490660     -0.761456370    
   6.59999609     -0.680283189     -0.638683200    
   6.69999599     -0.547278404     -0.509527922    
   6.79999590     -0.408805251     -0.375281036    
   6.89999580     -0.266247332     -0.237284124    
   6.99999571     -0.121029094      -9.69158411E-02
   7.09999561       2.53985077E-02   4.44209576E-02
   7.19999552      0.171572387      0.185314119    
   7.29999542      0.316032052      0.324356019    
   7.39999533      0.457334042      0.460157126    
   7.49999523      0.594066560      0.591360688    
   7.59999514      0.724863410      0.716655612    
   7.69999504      0.848417640      0.834790111    
   7.79999495      0.963494837      0.944583833    
   7.89999485       1.06894517       1.04493952    
   7.99999475       1.16371489       1.13485467    
   8.09999466       1.24685717       1.21343076    
   8.19999504       1.31754136       1.27988291    
   8.29999542       1.37506115       1.33354688    
   8.39999580       1.41884184       1.37388659    
   8.49999619       1.44844592       1.40049863    
   8.59999657       1.46357751       1.41311717    
   8.69999695       1.46408546       1.41161633    
   8.79999733       1.44996476       1.39601088    
   8.89999771       1.42135644       1.36645699    
   8.99999809       1.37854636       1.32324982    
   9.09999847       1.32196224       1.26682103    
   9.19999886       1.25216937       1.19773448    
   9.29999924       1.16986513       1.11668050    
   9.39999962       1.07587194       1.02446890    
   9.50000000      0.971129000      0.922021091    
   9.60000038      0.856682777      0.810360670    
   9.70000076      0.733676791      0.690603375    
   9.80000114      0.603340149      0.563945711    
   9.90000153      0.466975063      0.431653202    
   10.0000019      0.325944096      0.295047760    
